Latitude,Longitude,Value
35.77922191836723,-78.63583870747216,56.25583792683902
35.78317081714952,-78.63627196939592,48.58444667615602
35.77916115594386,-78.63538256526338,49.382790055920665
35.78103091029243,-78.63893911672271,86.31109333300563
35.78300706652767,-78.63931659227474,57.544948715004494
35.781519226495256,-78.63868354661275,83.38159342385775
35.77900093777976,-78.63943333697921,67.68903061411163
35.78105929614904,-78.64119452637892,51.52728454293629
35.776037783168846,-78.6380427219201,26.96116748551931
35.77981197611445,-78.63743266655261,82.40158360814547
35.77817233258167,-78.64016003014414,50.0777250261749
35.778342938830605,-78.63729148019114,61.07119650484941
35.78414576473976,-78.63912101056981,41.3851446882559
35.781414683091896,-78.63752083092388,83.02959433035113
35.784189642958125,-78.63875521928495,41.8827556965175
35.78190795089359,-78.6389730195291,75.69108288090223
35.78041764446987,-78.64176535315994,42.87978331811908
35.7798367887835,-78.63555378114121,55.93469396394357
35.77892494988294,-78.63992667385168,61.5094551338028
35.782541187714685,-78.64188423143626,33.37047665616085
35.782973448880746,-78.64144098383134,35.726114472146975
35.77869815194065,-78.63805733486224,69.48493614807943
35.781799310667154,-78.64033754313942,60.783883315498656
35.78065783005911,-78.63566394160576,59.4125174142227
35.782773188513254,-78.63551001199026,44.66964075209609
35.779930086900215,-78.63708205918361,79.14729612420365
35.784340275137346,-78.63924830526862,37.84952033933539
35.78131981992128,-78.64123440054293,50.10224245766533
35.78261721344733,-78.6414154380305,39.2670015069295
35.776690521510545,-78.64099463429385,23.110047851862618
35.7822923694189,-78.63379715795136,24.52962248041993
35.77844863606115,-78.63666645171445,57.72808132788107
35.78253649864556,-78.63631774758993,56.79140488625673
35.77678050898787,-78.64140884676658,20.183876655318077
35.78537340703555,-78.63895011893491,22.68821665005701
35.77772750086896,-78.63416094311373,20.69868010039652
35.77650638361244,-78.63702401948781,31.853099299047955
35.78113123095962,-78.63572725379213,59.53334562747181
35.78522759426542,-78.63920353524284,24.237488246125796
35.778986697791005,-78.64184828018581,36.17485419575522
35.782209245185335,-78.63497043246169,42.26731604126741
35.780262495676155,-78.63850924721399,92.67586113990032
35.78101084423655,-78.63784615332548,91.32451057989906
35.780486327447015,-78.63889939871098,88.66278334019421
35.77885164998428,-78.63784059428812,71.44145552977938
35.77724397917037,-78.63930220227995,43.48188102244777
35.77957218924604,-78.64056381569642,58.75840672684987
35.778660655742,-78.63775798750918,68.17475239021931
35.78166968434714,-78.63946188284605,73.5318556101884
35.78038141606981,-78.63448985591342,40.5347605075783
35.77790536653763,-78.63493287340262,32.24011201941852
35.77895012460449,-78.63510224684683,43.844414034032944
35.782450899189506,-78.63766088910856,69.15496959117439
35.77834248940771,-78.63479739070634,34.66570085792614
35.782855213085725,-78.63867360607907,63.12949786456309
35.78218506626661,-78.64131879492659,44.0244239234108
35.784570689632794,-78.63902525716658,35.111318852574016
35.78375209931481,-78.63653160547331,42.93746220942111
35.78051985556056,-78.63821817880184,98.68511536541382
35.78056198004155,-78.63359138059977,26.259580397848566
35.78417091852192,-78.63998957882025,36.09196318394925
35.784606328200724,-78.6386606672684,35.476382030063604
35.78203621470769,-78.63810779099909,76.97325277587906
35.781061855944515,-78.63811001760719,92.47136250099524
35.78108978781851,-78.63573030606506,59.7153162939582
35.783078886048294,-78.64172559089764,31.042659507431352
35.77714209987743,-78.64129526914644,25.745924874701203
35.77615482012018,-78.63820174077483,28.877116469343875
35.77927120707469,-78.63780547245958,77.82199940624942
35.78227825975844,-78.63917251465631,68.96519394569046
